run_tag,row_type,experiment_id,mechanism_label,det_k_global,sparse_tau_global,speedup_vs_E0,prefix_error_mean,paired_delta_vs_e0_quant_pp,paired_delta_vs_fp32_pp,top1_mean,top5_mean,seed_count,complete,source_status,claim_boundary,notes,final_run_tag,source_run_tag,source_quick_report_csv,original_source_status,evidence_basis,promotion_action,source_csv
20260427_fuller_final_unreserved_datafig_rebuild,det_k_sweep,E3,DET k sweep,129,,,0.0,-18.067407407407412,,27.11407407407407,49.01111111111111,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis DET sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
20260427_fuller_final_unreserved_datafig_rebuild,sparse_tau_sweep,E4,SPARSE tau sweep,,0,,,-18.067407407407412,,27.11407407407407,49.01111111111111,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis SPARSE tau sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
20260427_fuller_final_unreserved_datafig_rebuild,sparse_tau_sweep,E4,SPARSE tau sweep,,0.05,,,-18.065925925925928,,27.115555555555556,49.05481481481482,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis SPARSE tau sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
20260427_fuller_final_unreserved_datafig_rebuild,sparse_tau_sweep,E4,SPARSE tau sweep,,0.1,,,-18.06962962962963,,27.111851851851853,49.06740740740741,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis SPARSE tau sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
20260427_fuller_final_unreserved_datafig_rebuild,sparse_tau_sweep,E4,SPARSE tau sweep,,0.15,,,-18.060000000000002,,27.12148148148148,49.06,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis SPARSE tau sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
20260427_fuller_final_unreserved_datafig_rebuild,sparse_tau_sweep,E4,SPARSE tau sweep,,0.2,,,-18.01555555555556,,27.165925925925922,49.1311111111111,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis SPARSE tau sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
20260427_fuller_final_unreserved_datafig_rebuild,sparse_tau_sweep,E4,SPARSE tau sweep,,0.25,,,-17.98296296296296,,27.198518518518522,49.199999999999996,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis SPARSE tau sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
20260427_fuller_final_unreserved_datafig_rebuild,sparse_tau_sweep,E4,SPARSE tau sweep,,0.3,,,-17.840000000000003,,27.34148148148148,49.35407407407407,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis SPARSE tau sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
20260427_fuller_final_unreserved_datafig_rebuild,sparse_tau_sweep,E4,SPARSE tau sweep,,0.4,,,-17.487407407407407,,27.694074074074077,49.791851851851845,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis SPARSE tau sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
20260427_fuller_final_unreserved_datafig_rebuild,sparse_tau_sweep,E4,SPARSE tau sweep,,0.5,,,-16.81555555555556,,28.365925925925925,50.76592592592593,3,true,carried_forward_current_basis_mechanism_promoted,current_phase4_basis_sweep_measured; preserve mechanism narrative only where accuracy tradeoff supports it,Current Phase4-basis SPARSE tau sweep; delta is lane top1 minus ASTRA quantized top1 mean.,20260427_fuller_final_unreserved_datafig_rebuild,20260426_fuller_phase4_mechanism_basis_rerun,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv,current_phase4_basis_full_sweep,current_basis_mechanism_empirical,carry_forward_current_basis_mechanism,experiments/results/quick_reports/20260426_fuller_phase4_mechanism_basis_rerun/appf6_det_sparse_sweep_phase4_basis.csv
