model,manifest_path,status,evidence_label,promotion_decision,declared_model_key,prefixes,n_layers,n_columns_total,n_bad_num_cols,global_cv,slack_mean,slack_std,bubble_fraction_min,bubble_fraction_max,bubble_fraction_range,bubble_fraction_unique_5dp,layer_slack_std,median_layer_slack_cv,blockers,regeneration_command
mobilevit_s,experiments/results/runs/slack_manifest.json,pass,audit,main_text,mobilevit_s,mobilevit_s,90,9312,0,0.3687574982992143,0.4569163682913359,0.16849133690344423,0.04550728624715792,0.14151839145955883,0.09601110521240092,41,0.1649111646846071,0.29039014621575415,,.venv311-mps/bin/python experiments/exp_common/slack_computation.py --timeline <model-specific-dptc-per-layer-timeline.csv> --output experiments/results/runs/slack_manifest.json --alpha 0.5 --model mobilevit_s
mobilevit_xs,experiments/results/runs/slack_manifest_xs.json,fail_closed,audit,boundary,mobilevit_xs,mobilevit_xs,36,3112,0,0.5801893167159232,0.25167693891259585,0.14602027122143432,0.12466694713223951,0.12517531556802244,0.0005083684357829327,13,0.0005978108364518516,0.5810745956517209,weak_inter_layer_timing_richness,.venv311-mps/bin/python experiments/exp_common/slack_computation.py --timeline <model-specific-dptc-per-layer-timeline.csv> --output experiments/results/runs/slack_manifest_xs.json --alpha 0.5 --model mobilevit_xs
mobilevit_xxs,experiments/results/runs/slack_manifest_xxs.json,fail_closed,audit,boundary,mobilevit_xxs,mobilevit_xxs,36,2064,0,0.5843684911537348,0.2513598576052227,0.14688678072596598,0.12452728254997299,0.12497186585640332,0.00044458330643033783,11,0.0008096026436863145,0.5856005365998614,weak_inter_layer_timing_richness,.venv311-mps/bin/python experiments/exp_common/slack_computation.py --timeline <model-specific-dptc-per-layer-timeline.csv> --output experiments/results/runs/slack_manifest_xxs.json --alpha 0.5 --model mobilevit_xxs
