tag,sensitivity_case,workload,condition,condition_label,scheduler,scheduler_label,schedule_trace_id,lookahead_ns,deadline_scale_to_condition_ppa,n_layers,n_kernel_classes,n_kernels,makespan_ns,architecture_latency_ns,makespan_ratio_vs_architecture_latency,mean_slack_ns,min_slack_ns,p10_slack_norm,p50_slack_norm,p90_slack_norm,mean_slack_norm,deadline_miss_count,deadline_miss_rate,total_queue_wait_ns,mean_queue_wait_ns,max_queue_depth_before,dptc_core_utilization,memory_utilization,adc_queue_utilization,optical_link_utilization,control_sideband_utilization,memory_traffic_bytes,optical_link_values,sideband_groups,keep_ratio,degrade_ratio,prune_ratio,active_compute_ratio,energy_pj,edp_pj_ns,energy_ratio_vs_lightening,edp_ratio_vs_lightening,accuracy_evidence_label,promotion_decision,trace_link_role,distribution_signature,signature_p10_p50_p90_miss_queue_core,distribution_distance_vs_fifo,p10_slack_norm_delta_vs_fifo,deadline_miss_delta_vs_fifo,queue_wait_delta_vs_fifo_ns,p10_slack_norm_delta_vs_suds_aware,deadline_miss_delta_vs_suds_aware,queue_wait_delta_vs_suds_aware_ns,suds_aware_helps_vs_fifo,best_low_tail_scheduler,suds_aware_best_low_tail,scheduler_ablation_note
20260513_tetc_pivot,nominal,bert_base_glue_seq128,l1,L1 selector,fifo,FIFO release-order scheduler,r2_93d02de8dd6075b8,0.0,0.9402111964757003,12,6,72,7965.596224784032,8015.112407716053,0.9938221474118875,176.74188786346875,14.897269944703908,0.5699434315314134,0.6011606663812777,0.7587015005538669,0.629885778299291,0,0.0,72.10531111111067,1.0014626543209815,6,0.48730051801890095,0.030181193374073653,0.14084556907901172,0.04024159116543137,0.020120795582716414,222167040.0,9912336.0,9720.0,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,68899417.73119205,552236577941.6888,0.7076249143012423,0.6652063949603513,measured_mps_glue,appendix,scheduler_ablation,edb80bc0c8e1fb38,0.569943;0.601161;0.758702;0.000000;0.009052;0.487301,0.0,0.0,0,0.0,-0.10337606001398014,0,24.63360702763572,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
20260513_tetc_pivot,nominal,bert_base_glue_seq128,l1,L1 selector,asap,ASAP earliest-ready scheduler,r2_19379464c7f3db1a,5.414666666666668,0.9402111964757003,12,6,72,7623.8506666666635,8015.112407716053,0.9511844973412068,350.28517333362043,24.26089544538172,0.6393800642740789,0.7570225990463137,0.9539034137173952,0.7843676064598089,0,0.0,65.9951639862523,0.9165994998090596,6,0.48877840909091036,0.03153409090909068,0.14715909090909093,0.04204545454545427,0.021022727272727654,222167040.0,9912336.0,9720.0,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,68899417.73119205,552236577941.6888,0.7076249143012423,0.6652063949603513,measured_mps_glue,appendix,scheduler_ablation,1e22ea7a92f962c0,0.639380;0.757023;0.953903;0.000000;0.008656;0.488778,0.422779821218304,0.06943663274266554,0,-6.110147124858372,-0.033939427271314604,0,18.523459902777347,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
20260513_tetc_pivot,nominal,bert_base_glue_seq128,l1,L1 selector,edf_deadline_aware,EDF deadline-aware scheduler,r2_37a70a4d22f36623,37.90266666666667,0.9402111964757003,12,6,72,7574.024903903272,8015.112407716053,0.9449680202378509,374.9841156451352,25.834903474273858,0.646894819034692,0.7700821043134477,0.9614830520623735,0.7956891687611994,0,0.0,65.21185285017805,0.9057201784746951,6,0.4919938404321356,0.03174153809239555,0.14812717776451365,0.04232205078986074,0.021161025394930956,222167040.0,9912336.0,9720.0,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,68899417.73119205,552236577941.6888,0.7076249143012423,0.6652063949603513,measured_mps_glue,appendix,scheduler_ablation,0119ca658e3ee9b4,0.646895;0.770082;0.961483;0.000000;0.008610;0.491994,0.45425784400925995,0.07695138750327868,0,-6.8934582609326185,-0.026424672510701464,0,17.7401487667031,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
20260513_tetc_pivot,nominal,bert_base_glue_seq128,l1,L1 selector,utilization_aware,Utilization-aware scheduler,r2_70c61276d8ab1eb0,59.561333333333344,0.9402111964757003,12,6,72,7380.345628833139,8015.112407716053,0.9208037583762604,470.9050913666428,30.615813859366426,0.6792035334339998,0.813425278159661,0.979191192320232,0.8297622030372135,0,0.0,0.0,0.0,0,0.47632549601997953,0.032574517792333814,0.1520144163642257,0.04343269038977841,0.021716345194889852,222167040.0,9912336.0,9720.0,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,68899417.73119205,552236577941.6888,0.7076249143012423,0.6652063949603513,measured_mps_glue,appendix,scheduler_ablation,e9c680fa68d387d8,0.679204;0.813425;0.979191;0.000000;0.000000;0.476325,0.5627593372495876,0.10926010190258639,0,-72.10531111111067,0.005884041888606251,0,-47.47170408347495,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
20260513_tetc_pivot,nominal,bert_base_glue_seq128,l1,L1 selector,suds_aware,SUDS-aware slack/deadline scheduler,r2_fffa49584498c3de,75.80533333333334,0.9402111964757003,12,6,72,7397.892532006034,8015.112407716053,0.9229929857108643,462.89197238928296,30.23226863294275,0.6733194915453935,0.8083316069328745,0.9735092630131945,0.8251685227951114,0,0.0,47.47170408347495,0.6593292233815965,6,0.4890363614975251,0.03249725498983527,0.15165385661923242,0.043329673319780354,0.021664836659890822,222167040.0,9912336.0,9720.0,0.7002314814814814,0.0,0.29976851851851843,0.7002314814814816,68899417.73119205,552236577941.6888,0.7076249143012423,0.6652063949603513,measured_mps_glue,appendix,scheduler_ablation,734811cd6a1f4d81,0.673319;0.808332;0.973509;0.000000;0.006417;0.489036,0.5304204206257348,0.10337606001398014,0,-24.63360702763572,0.0,0,0.0,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
20260513_tetc_pivot,nominal,bert_base_glue_seq128,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",fifo,FIFO release-order scheduler,r2_8400de54c48245e4,0.0,1.0001660723223222,12,6,72,8473.621199474786,8526.215733333336,0.9938314329001868,187.97286470340453,15.845493611410006,0.5699306399634536,0.6011146565551884,0.7585234375772194,0.6298056956101841,0,0.0,76.70399999999853,1.0653333333333128,8,0.6497340240252004,0.030181193374073906,0.14084556907901175,0.040241591165432467,0.020120795582716445,222167040.0,14155776.0,13824.0,1.0,0.0,0.0,1.0,97367145.133984,830173284751.1248,1.0,1.0,measured_mps_glue,appendix,scheduler_ablation,b839b5a1ed0059cd,0.569931;0.601115;0.758523;0.000000;0.009052;0.649734,0.0,0.0,0,0.0,-0.10337957549886234,0,26.113062756149077,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
20260513_tetc_pivot,nominal,bert_base_glue_seq128,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",asap,ASAP earliest-ready scheduler,r2_085b46ab1940a3d3,5.760000000000001,1.0001660723223222,12,6,72,8110.08000000001,8526.215733333336,0.9511933844570178,372.58428879379,25.806306751751777,0.6393681143281332,0.7570023393337568,0.9538957121064731,0.7843526593946089,0,0.0,70.20573173573786,0.9750796074408036,8,0.6517045454545457,0.03153409090909098,0.14715909090909146,0.042045454545455156,0.021022727272727797,222167040.0,14155776.0,13824.0,1.0,0.0,0.0,1.0,97367145.133984,830173284751.1248,1.0,1.0,measured_mps_glue,appendix,scheduler_ablation,71ecd37a51d6db67,0.639368;0.757002;0.953896;0.000000;0.008657;0.651705,0.4234692113217734,0.06943747436467962,0,-6.498268264260673,-0.03394210113418272,0,19.614794491888404,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
20260513_tetc_pivot,nominal,bert_base_glue_seq128,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",edf_deadline_aware,EDF deadline-aware scheduler,r2_2e4e27f7a78e964e,40.32,1.0001660723223222,12,6,72,8057.076479897117,8526.215733333336,0.9449768492718154,398.8584652985299,27.480700912011343,0.646883319174023,0.7700638907172089,0.9614772372841949,0.7956759481686475,0,0.0,69.37246305614127,0.9635064313352955,8,0.655991787242846,0.031741538092395834,0.14812717776451412,0.042322050789861634,0.02116102539493104,222167040.0,14155776.0,13824.0,1.0,0.0,0.0,1.0,97367145.133984,830173284751.1248,1.0,1.0,measured_mps_glue,appendix,scheduler_ablation,399df252f1cd02f5,0.646883;0.770064;0.961477;0.000000;0.008610;0.655992,0.45602342632215487,0.07695267921056936,0,-7.331536943857259,-0.026426896288292978,0,18.781525812291818,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
20260513_tetc_pivot,nominal,bert_base_glue_seq128,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",utilization_aware,Utilization-aware scheduler,r2_e2abbb8233740a34,63.36000000000001,1.0001660723223222,12,6,72,7850.973536799595,8526.215733333336,0.9208039982035789,500.9323412894212,32.568010898615654,0.6792002852010643,0.8134234895291355,0.9791909978991858,0.8297605716870804,0,0.0,0.0,0.0,0,0.6351064298221417,0.03257481365861965,0.15201579707355858,0.04343308487816001,0.02171654243908026,222167040.0,14155776.0,13824.0,1.0,0.0,0.0,1.0,97367145.133984,830173284751.1248,1.0,1.0,measured_mps_glue,appendix,scheduler_ablation,f6ed68ed65c57c45,0.679200;0.813423;0.979191;0.000000;0.000000;0.635106,0.5666436312775877,0.10926964523761074,0,-76.70399999999853,0.005890069738748394,0,-50.59093724384945,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
20260513_tetc_pivot,nominal,bert_base_glue_seq128,lightening_dptc,"Lightening-style DPTC reference, 8-bit ADC",suds_aware,SUDS-aware slack/deadline scheduler,r2_27c4b4f36f775878,80.64,1.0001660723223222,12,6,72,7869.709276066943,8526.215733333336,0.923001425509353,492.3743806887478,32.158518564178195,0.673310215462316,0.8083189973033555,0.9735064176167407,0.8251548551801008,0,0.0,50.59093724384945,0.7026519061645757,8,0.6520486119244906,0.03249726146526908,0.15165388683792258,0.043329681953692634,0.021664840976846546,222167040.0,14155776.0,13824.0,1.0,0.0,0.0,1.0,97367145.133984,830173284751.1248,1.0,1.0,measured_mps_glue,appendix,scheduler_ablation,0f98d150af3f2b36,0.673310;0.808319;0.973506;0.000000;0.006429;0.652049,0.531199657937896,0.10337957549886234,0,-26.113062756149077,0.0,0,0.0,True,utilization_aware,False,"SUDS-aware improves low-tail slack or deadline misses versus FIFO, but `utilization_aware` has the highest p10 slack in this scheduler-only ablation."
