tag,roadmap_item,workload,selected_design_id,row_type,candidate_design_id,design_distance_from_selected,energy_delta_vs_selected,latency_delta_vs_selected,edp_delta_vs_selected,area_delta_vs_selected,memory_pressure_delta_vs_selected,control_overhead_delta_vs_selected,calibration_sensitivity_delta_vs_selected,r5_multiobjective_pareto_front,r5_dominator_count,raw_energy_latency_area_pareto_front,raw_energy_latency_area_dominator_count,schedule_trace_id,accuracy_evidence_label,fairness_status,policy_match_status,claim_narrowing_reason
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,bert_base_glue_seq128,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td32_t4_c4_sg32_temporal_accum,1,0.0,-0.4996537747048344,-0.4996537747048343,0.11138985197947426,-0.5,0.0,0.0,True,0,False,31,r2_7b7427345a30be24,measured_mps_glue,pass,pass,bounded raw-PPA pressure under governed objective set
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,bert_base_glue_seq128,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td32_t8_c2_sg32_temporal_accum,1,0.0,-0.4996537747048344,-0.4996537747048343,0.11138985197947426,-0.5,0.0,0.0,True,0,False,31,r2_7b7427345a30be24,measured_mps_glue,pass,pass,bounded raw-PPA pressure under governed objective set
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,bert_base_glue_seq128,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td64_t4_c2_sg32_temporal_accum,1,-0.0006353177427131929,-0.8747388757166317,-0.874818456331361,-0.1510227138659479,0.0,-0.49968213918602855,3.2463187919162806e-05,True,0,False,6,r2_7b7427345a30be24,measured_mps_glue,pass,pass,higher calibration sensitivity
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,selected_summary,td32_t4_c2_sg32_temporal_accum,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,10,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,"selected R5 governed point has R2 schedule, R3 MPS accuracy, and R4 same-simulator fairness linkage; raw PPA dominators are recorded as claim-boundary pressure"
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,raw_ppa_dominator,td32_t4_c4_sg128_temporal_accum,2,-0.0002794592301933463,-0.5005994421919312,-0.5007390042873743,-0.37347090195388744,-0.5,-0.7499301156626286,0.0002795373494857145,True,0,True,0,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,raw_ppa_dominator,td32_t8_c2_sg128_temporal_accum,2,-0.0002794592301933463,-0.5005994421919312,-0.5007390042873743,-0.37347090195388744,-0.5,-0.7499301156626286,0.0002795373494857145,True,0,True,0,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,raw_ppa_dominator,td32_t4_c4_sg64_temporal_accum,2,-0.00018630615346226786,-0.499997145586615,-0.5000902991951408,-0.18613735664851172,-0.5,-0.4999068295650436,0.00018634086991298204,True,0,False,2,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,raw_ppa_dominator,td32_t8_c2_sg64_temporal_accum,2,-0.00018630615346226786,-0.499997145586615,-0.5000902991951408,-0.18613735664851172,-0.5,-0.4999068295650436,0.00018634086991298204,True,0,False,2,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,raw_ppa_dominator,td32_t2_c4_sg128_temporal_accum,3,-0.0002794592301933463,-0.0018068898159486757,-0.0020858440941049494,-0.5620006359161269,0.0,-0.7499301156626286,0.0002795373494857145,True,0,True,0,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,raw_ppa_dominator,td32_t4_c2_sg128_temporal_accum,1,-0.0002794592301933463,-0.0018068898159486757,-0.0020858440941049494,-0.5620006359161269,0.0,-0.7499301156626286,0.0002795373494857145,True,0,True,0,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td32_t4_c2_sg64_temporal_accum,1,-0.00018630615346226786,-0.0012045932106322654,-0.0013906749409668961,-0.3746670906107513,0.0,-0.4999068295650436,0.00018634086991298204,True,0,False,3,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td32_t4_c2_sg128_temporal_accum,1,-0.0002794592301933463,-0.0018068898159486757,-0.0020858440941049494,-0.5620006359161269,0.0,-0.7499301156626286,0.0002795373494857145,True,0,True,0,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td32_t4_c2_sg16_temporal_accum,1,0.00037261230692453573,0.002409186421264975,0.0027826964206998372,0.7493341812215026,0.0,0.9992550529625848,-0.00037247351870750567,True,0,False,18,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher control overhead
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td32_t4_c2_sg32_per_tile,1,0.04658027547700461,1.141765353995794e-05,0.04659222496799176,-0.0005337977472638089,0.0,-0.044507121496986546,0.002103533727560336,False,14,False,18,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity; not on R5 governed front
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td32_t4_c2_sg32_per_array,1,0.11645068869251185,2.8544133849894848e-05,0.11648255681040687,-0.0008024978986171938,0.0,-0.10430437266234183,0.004929722670159453,False,28,False,52,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity; not on R5 governed front
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td32_t4_c4_sg32_temporal_accum,1,0.0,-0.4987925523759825,-0.4987925523759825,0.1885297339622396,-0.5,0.0,0.0,True,0,False,5,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,bounded raw-PPA pressure under governed objective set
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td32_t8_c2_sg32_temporal_accum,1,0.0,-0.4987925523759825,-0.4987925523759825,0.1885297339622396,-0.5,0.0,0.0,True,0,False,5,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,bounded raw-PPA pressure under governed objective set
20260513_tetc_pivot,R5_multi_objective_pareto_design_space,mobilevit_s_transformer_blocks_256,td32_t4_c2_sg32_temporal_accum,neighborhood_variant,td64_t4_c2_sg32_temporal_accum,1,0.05659095715230267,-0.8526018443988546,-0.8442604416909016,0.10559373278375306,0.0,-0.5091754535325206,0.0027091878555833837,True,0,False,6,r2_e1d13a0a1855de8b,measured_mps_imagenet,pass,pass,higher calibration sensitivity
