tag,roadmap_item,row_type,stage,model,dataset,sample_count,sample_indices_sha256,policy,policy_label,search_role,seed,top1_accuracy_pct,correct,total,elapsed_s,images_per_second,keep_ratio,degrade_ratio,prune_ratio,target_keep_ratio,target_degrade_ratio,target_prune_ratio,degrade_noise_std,prune_noise_std,selector,batch_size,device,PYTORCH_ENABLE_MPS_FALLBACK,git_hash,command,source_r9_workload_json_sha256,source_r12_deit_json_sha256,script_sha256,reference_mean_top1_pct,delta_top1_pp,sensitivity_case,workload,workload_family,dataset_or_split,condition,condition_label,condition_family,tile_dim,tiles,cores_per_tile,parallel_cores,sideband_group_cols,adc_sharing_mode,source_condition,n_kernels,macs,dptc_tiles,output_values,memory_moved_bytes,control_groups,active_compute_ratio,latency_ns,energy_pj,edp_pj_ns,area_mm2,adc_energy_pj,dac_mzm_energy_pj,detector_tia_energy_pj,laser_energy_pj,memory_energy_pj,optical_link_energy_pj,control_energy_pj,optical_link_pj,control_overhead_pj,digital_fallback_energy_pj,accuracy_metric,accuracy,delta_accuracy,accuracy_evidence_label,promotion_decision,architecture_evidence_label,claim_boundary,reference_lightening_edp_pj_ns,energy_ratio_vs_lightening,latency_ratio_vs_lightening,edp_ratio_vs_lightening,energy_improvement_vs_lightening_pct,edp_improvement_vs_lightening_pct
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,conservative_candidate,1,72.052,36026,50000,214.9,232.7,0.154044,0.845956,0.0,0.151838,0.848162,0.0,0.00075,0.0,r9_suds_pareto_ratio_column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,conservative_candidate,2,72.104,36052,50000,212.0,235.9,0.154044,0.845956,0.0,0.151838,0.848162,0.0,0.00075,0.0,r9_suds_pareto_ratio_column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,-0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,light_degrade_keep90,"No-prune top-90% keep, light degrade",conservative_candidate,0,72.138,36069,50000,209.9,238.2,0.901042,0.098958,0.0,0.9,0.1,0.0,0.0015,0.0,column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,light_degrade_keep90,"No-prune top-90% keep, light degrade",conservative_candidate,1,72.12,36060,50000,207.4,241.1,0.901042,0.098958,0.0,0.9,0.1,0.0,0.0015,0.0,column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,-0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,model_evaluation,full_validation,deit_tiny_patch16_224,imagenet-1k/validation,50000,20d955083da5e4d754ae1b14007c11708069624d60d6177d37831503bd7fc543,light_degrade_keep90,"No-prune top-90% keep, light degrade",conservative_candidate,2,72.136,36068,50000,200.2,249.8,0.901042,0.098958,0.0,0.9,0.1,0.0,0.0015,0.0,column_l1_topk,64,mps,0,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,72.132,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260517_r13,R13_3_deit_tiny_conservative_policy_search,architecture_join,r9_architecture_join,deit_tiny_patch16_224,,50000,,degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,conservative_candidate,aggregate_3_seed,72.096,,,,,0.15183770584183834,0.8481622941581617,0.0,,,,,,,,mps,,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,,-0.036,nominal,deit_tiny_patch16_224_batch1_r9,vision Transformer encoder,"ImageNet-style architecture sweep, patch16 224, tokens=197, batch_size=1",degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,r13_deit_conservative_policy,32,4,2,8,32,temporal_accum,degrade_only_signal_safe_r13_conservative_search,72,1224589824,42672,6746112,33150480,6588,1.0,1075.4420282616381,12365462.989174537,13298338597.472084,5.754339669678854,243116.70512768818,10438144.007946227,854507.5206505093,8107.680006172118,497257.19999999995,320440.320243941,3889.5551999999993,320440.320243941,3889.5551999999993,0.0,top1,72.096,-0.036,measured_mps_deit_tiny_r13_conservative_search,secondary_support_candidate,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",14284149458.968847,0.9292977003659547,1.0018164035559818,0.9309856800134653,7.070229963404529,6.901431998653473
20260517_r13,R13_3_deit_tiny_conservative_policy_search,architecture_join,r9_architecture_join,deit_tiny_patch16_224,,50000,,light_degrade_keep90,"No-prune top-90% keep, light degrade",conservative_candidate,aggregate_3_seed,72.1313,,,,,0.9,0.1,0.0,,,,,,,,mps,,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,,-0.0007,nominal,deit_tiny_patch16_224_batch1_r9,vision Transformer encoder,"ImageNet-style architecture sweep, patch16 224, tokens=197, batch_size=1",light_degrade_keep90,"No-prune top-90% keep, light degrade",r13_deit_conservative_policy,32,4,2,8,32,temporal_accum,light_degrade_keep90_r13_conservative_search,72,1224589824,42672,6746112,33150480,6588,1.0,1075.4654083333328,13197898.284855582,14193883068.064001,5.768803672306271,1075552.0008087321,10438144.007946227,854507.5206505093,8107.680006172118,497257.19999999995,320440.320243941,3889.5551999999993,320440.320243941,3889.5551999999993,0.0,top1,72.13133333333333,-0.0006666666666666666,measured_mps_deit_tiny_r13_conservative_search,secondary_support_candidate,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",14284149458.968847,0.9918574449268406,1.001838183009197,0.9936806604296506,0.8142555073159419,0.6319339570349358
20260517_r13,R13_3_deit_tiny_conservative_policy_search,architecture_join,r9_architecture_join,deit_tiny_patch16_224,,50000,,degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,conservative_candidate,aggregate_3_seed,72.096,,,,,0.15183770584183834,0.8481622941581617,0.0,,,,,,,,mps,,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,,-0.036,nominal,deit_tiny_patch16_224_batch4_r9,vision Transformer encoder,"ImageNet-style architecture sweep, patch16 224, tokens=197, batch_size=4",degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,r13_deit_conservative_policy,32,4,2,8,32,temporal_accum,degrade_only_signal_safe_r13_conservative_search,72,4898359296,154464,24772608,98935872,24192,1.0,3876.083628261637,31290016.684186757,121282721397.60976,17.045963377181362,892756.4253869207,24555028.49869296,3137863.6823887555,29348.160022341817,1484038.0799999998,1176698.8808957834,14282.956799999998,1176698.8808957834,14282.956799999998,0.0,top1,72.096,-0.036,measured_mps_deit_tiny_r13_conservative_search,secondary_support_candidate,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",134422089836.31819,0.9005696940440743,1.0018690541616677,0.9022529075785992,9.943030595592573,9.774709242140078
20260517_r13,R13_3_deit_tiny_conservative_policy_search,architecture_join,r9_architecture_join,deit_tiny_patch16_224,,50000,,light_degrade_keep90,"No-prune top-90% keep, light degrade",conservative_candidate,aggregate_3_seed,72.1313,,,,,0.9,0.1,0.0,,,,,,,,mps,,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,,-0.0007,nominal,deit_tiny_patch16_224_batch4_r9,vision Transformer encoder,"ImageNet-style architecture sweep, patch16 224, tokens=197, batch_size=4",light_degrade_keep90,"No-prune top-90% keep, light degrade",r13_deit_conservative_policy,32,4,2,8,32,temporal_accum,light_degrade_keep90_r13_conservative_search,72,4898359296,154464,24772608,98935872,24192,1.0,3876.1070083333316,34346828.26176961,133131981739.46652,17.09907709174762,3949568.0029697707,24555028.49869296,3137863.6823887555,29348.160022341817,1484038.0799999998,1176698.8808957834,14282.956799999998,1176698.8808957834,14282.956799999998,0.0,top1,72.13133333333333,-0.0006666666666666666,measured_mps_deit_tiny_r13_conservative_search,secondary_support_candidate,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",134422089836.31819,0.9885489333956918,1.0018750973156763,0.9904025588471166,1.1451066604308169,0.9597441152883412
20260517_r13,R13_3_deit_tiny_conservative_policy_search,architecture_join,r9_architecture_join,deit_tiny_patch16_224,,50000,,degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,conservative_candidate,aggregate_3_seed,72.096,,,,,0.15183770584183834,0.8481622941581617,0.0,,,,,,,,mps,,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,,-0.036,nominal,deit_tiny_patch16_224_batch8_r9,vision Transformer encoder,"ImageNet-style architecture sweep, patch16 224, tokens=197, batch_size=8",degrade_only_signal_safe,No-prune R9 SUDS-ratio signal-safe degrade,r13_deit_conservative_policy,32,4,2,8,32,temporal_accum,degrade_only_signal_safe_r13_conservative_search,72,9796718592,308928,49545216,186649728,48384,1.0,7742.560428261641,57220842.32442188,443035829452.86774,32.56328675436273,1785512.8507738414,43919196.19343428,6275727.364777511,58696.320044683634,2799745.92,2353397.761791567,28565.913599999996,2353397.761791567,28565.913599999996,0.0,top1,72.096,-0.036,measured_mps_deit_tiny_r13_conservative_search,secondary_support_candidate,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",495602732124.9197,0.8922605656932248,1.001874813721748,0.8939333880451609,10.773943430677523,10.606661195483913
20260517_r13,R13_3_deit_tiny_conservative_policy_search,architecture_join,r9_architecture_join,deit_tiny_patch16_224,,50000,,light_degrade_keep90,"No-prune top-90% keep, light degrade",conservative_candidate,aggregate_3_seed,72.1313,,,,,0.9,0.1,0.0,,,,,,,,mps,,bef5f11,caffeinate -dimsu .venv311-mps/bin/python experiments/tools/build_suds_tetc_deit_tiny_conservative_policy_search.py --tag 20260517_r13 --device mps,f74ec0c22a0f615af23d864ecd692145866a1108687f01c3a62d6e519c6b3aab,adb3a930340709b4f246547fa4046a87f8141147e7c00a2937d83ec7a2b11ea1,dd32fe659fc088c05f4681c7a1b7a0fb4358d65298aa9b98b960d7ba2afc7dfc,,-0.0007,nominal,deit_tiny_patch16_224_batch8_r9,vision Transformer encoder,"ImageNet-style architecture sweep, patch16 224, tokens=197, batch_size=8",light_degrade_keep90,"No-prune top-90% keep, light degrade",r13_deit_conservative_policy,32,4,2,8,32,temporal_accum,light_degrade_keep90_r13_conservative_search,72,9796718592,308928,49545216,186649728,48384,1.0,7742.583808333336,63334465.479587585,490372406931.7014,32.66951418349524,7899136.005939541,43919196.19343428,6275727.364777511,58696.320044683634,2799745.92,2353397.761791567,28565.913599999996,2353397.761791567,28565.913599999996,0.0,top1,72.13133333333333,-0.0006666666666666666,measured_mps_deit_tiny_r13_conservative_search,secondary_support_candidate,modeled_system_ppa,"DPTC architecture simulation with calibrated/proxy parameters; not fabrication, physical-design, PDK, or device-solver signoff",495602732124.9197,0.9875919979698722,1.0018778390652618,0.9894465368042,1.2408002030127818,1.0553463195799972
