variant_id,experiment_id,internal_experiment_id,public_module_stack,lane_label,mechanism_focus,run_id,config_path,accuracy_context_run_id,runtime_smoke_gate,analysis_grade_gate,accuracy_status,wiring_status,meso,flow,det,sparse,phy
ASTRA,E0,E0,"[""ASTRA""]",astra_anchor,astra,20260421_fuller_phase1_preflight_astra,/Users/jk6k/Desktop/fyp/experiments/results/generated_configs/20260421_fuller_phase1_canonical/astra.yaml,20260415_sc_default_dark_launch_candidate_acc_s0,pass,fail,context_match_incomplete,pass,False,False,False,False,False
MESO,E1,E1,"[""ASTRA"", ""MESO""]",meso_module,meso,20260421_fuller_phase1_preflight_meso,/Users/jk6k/Desktop/fyp/experiments/results/generated_configs/20260421_fuller_phase1_canonical/meso.yaml,20260421_fuller_phase1_preflight_meso_acc_s0,pass,fail,missing_current_accuracy_row,pass,True,False,False,False,False
HOPS,E2,E2,"[""ASTRA"", ""HOPS""]",hops_module,hops,20260421_fuller_phase1_preflight_hops,/Users/jk6k/Desktop/fyp/experiments/results/generated_configs/20260421_fuller_phase1_canonical/hops.yaml,20260421_fuller_phase1_preflight_hops_acc_s0,pass,fail,missing_current_accuracy_row,pass,False,True,False,False,False
DET,E3,E3,"[""ASTRA"", ""DET""]",det_module,det,20260421_fuller_phase1_preflight_det,/Users/jk6k/Desktop/fyp/experiments/results/generated_configs/20260421_fuller_phase1_canonical/det.yaml,20260421_fuller_phase1_preflight_det_acc_s0,pass,fail,missing_current_accuracy_row,pass,False,False,True,False,False
SPARSE,E4,E4,"[""ASTRA"", ""SPARSE""]",sparse_module,sparse,20260421_fuller_phase1_preflight_sparse,/Users/jk6k/Desktop/fyp/experiments/results/generated_configs/20260421_fuller_phase1_canonical/sparse.yaml,20260421_fuller_phase1_preflight_sparse_acc_s0,pass,fail,missing_current_accuracy_row,pass,False,False,False,True,False
PHY,E5,E5,"[""ASTRA"", ""PHY""]",phy_module,phy,20260421_fuller_phase1_preflight_phy,/Users/jk6k/Desktop/fyp/experiments/results/generated_configs/20260421_fuller_phase1_canonical/phy.yaml,20260421_fuller_phase1_preflight_phy_acc_s0,pass,fail,missing_current_accuracy_row,pass,False,False,False,False,True
FULLER,E6,E6,"[""ASTRA"", ""MESO"", ""HOPS"", ""DET"", ""SPARSE"", ""PHY""]",fuller_integrated,meso+hops+det+sparse+phy,20260421_fuller_phase1_preflight_fuller,/Users/jk6k/Desktop/fyp/experiments/results/generated_configs/20260421_fuller_phase1_canonical/fuller.yaml,20260421_fuller_phase1_preflight_fuller_acc_s0,pass,fail,missing_current_accuracy_row,pass,True,True,True,True,True
