baseline_variant,component,energy_j,energy_share
ASTRA,conversion_control,0.0073857571291428585,0.08041656315612185
ASTRA,memory_move,0.0676803926016,0.7369081423760981
ASTRA,oe,3.409130788571429e-05,0.00037118818906850494
ASTRA,adc_pca,0.00017228582912000027,0.0018758583603657156
ASTRA,laser_optical,0.00894896832,0.09743689963048255
ASTRA,other_static,0.0001156200269999998,0.0012588777346428982
ASTRA,hidden_system_cost,0.007506614973074287,0.08173247055322201
FULLER,conversion_control,0.002743234979715938,0.08816530531261078
FULLER,memory_move,0.02518340189826976,0.8093737261257319
FULLER,oe,1.26851378179402e-05,0.00040768984681255864
FULLER,adc_pca,6.410635502139535e-05,0.002060325274623467
FULLER,laser_optical,8.335646831721736e-08,2.6790080081763323e-06
FULLER,other_static,0.00018133963525,0.005828106022747373
FULLER,hidden_system_cost,0.0029298254367843665,0.09416216840946481
