mechanism_variant,experiment_id,run_id,model,latency_ms,stage_cycles,bubble_cycles,utilization_avg,hops_scheduler_mode,flow_residency_hit_rate,flow_control_backpressure,flow_eviction_count,flow_admission_stalls,source_timeline_summary
ASTRA,E0,20260424_fig2_current_astra_timeline,mobilevit_s,1457.6751339500001,"{""btos"":4081915,""bubble"":3480353002,""electronic_compute"":803931,""fetch_map"":3637758649,""oag_compute"":1755739184,""pca_adc"":435540330,""serialize_drive"":4422077,""writeback"":4408974504}",3480353002,0.4948532739044787,disabled,0.0,0.0,0,0,experiments/results/report_data/fig2_hops_current_timeline_prep_20260424/runs/20260424_fig2_current_astra_timeline/timeline_summary.csv
HOPS,E2,20260424_fig2_current_hops_timeline,mobilevit_s,1286.3530663699999,"{""btos"":4079922,""bubble"":1385456786,""electronic_compute"":810976,""fetch_map"":3328760784,""oag_compute"":1881734549,""pca_adc"":471024264,""serialize_drive"":4154841,""writeback"":4556755236}",1385456786,0.72856144861897,elastic_residency_v3,0.48429766171701616,0.12401433691756264,132,132,experiments/results/report_data/fig2_hops_current_timeline_prep_20260424/runs/20260424_fig2_current_hops_timeline/timeline_summary.csv
